Author,Book,Rating,Blurb,Author Year of Birth,Author Country
"John Grisham, Michael Beck, et al","A Time to Kill (Jake Brigance, #1)",4.06,"Librarian's Note: Alternate-cover edition for ISBN 0385338600 / 9780385338608Before The Firm and The Pelican Brief made him a superstar, John Grisham wrote this riveting story of retribution and justice. In this searing courtroom drama, best-selling author John Grisham probes the savage depths of racial violence...as he delivers a compelling tale of uncertain justice in a small southern town...Clanton, Mississippi. The life of a ten-year-old girl is shattered by two drunken and remorseless young men. The mostly white town reacts with shock and horror at the inhuman crime. Until her black father acquires an assault rifle and takes matters into his hands.For ten days, as burning crosses and the crack of sniper fire spread through the streets of Clanton, the nation sits spellbound as young defense attorney Jake Brigance struggles to save his client's life...and then his own. less",,
Llaila O Afrika,The Textbook of African Holistic Health,4.06,,,
Beverly Daniel Tatum,Why Are All the Black Kids Sitting Together in the Cafeteria?,4.06,"The classic, bestselling book on the psychology of racism-now fully revised and updated  Walk into any racially mixed high school and you will see Black, White, and Latino youth clustered in their own groups. Is this self-segregation a problem to address or a coping strategy? Beverly Daniel Tatum, a renowned authority on the psychology of racism, argues that straight talk about our racial identities is essential if we are serious about enabling communication across racial and ethnic divides. These topics have only become more urgent as the national conversation about race is increasingly acrimonious. This fully revised edition is essential reading for anyone seeking to understand the dynamics of race in America.""An unusually sensitive work about the racial barriers that still divide us in so many areas of life.""-Jonathan Kozol less",,
"Waris Dirie, Cathleen Miller",Desert Flower,4.06,"Waris Dirie ran away from her oppressive life in the African desert when she was barely in her teens, illiterate and impoverished, with nothing to her name but a tattered shawl. She traveled alone across the dangerous Somali desert to Mogadishu — the first leg of a remarkable journey that would take her to London, where she worked as a house servant; then to nearly every corner of the globe as an internationally renowned fashion model; and ultimately to New York City, where she became a human rights ambassador for the U.N. Desert Flower is her extraordinary story. less",,
Cheikh Anta Diop,The African Origin of Civilization,4.05,"Now in its 30th printing, this classic presents historical, archaeological, and anthropological evidence to support the theory that ancient Egypt was a black civilization.N.B (translation of sections of Antériorité des civilisations négres and Nations nègres et culture) less",,
Chinua Achebe,Anthills of the Savannah,4.05,"Chris, Ikem and Beatrice are like-minded friends working under the military regime of His Excellency, the Sandhurst-educated President of Kangan. In the pressurized atmosphere of oppression and intimidation they are simply trying to live and love - and remain friends. But in a world where each day brings a new betrayal, hope is hard to cling on to. Anthills of the Savannah (1987), Achebe's candid vision of contemporary African politics, is a powerful fusion of angry voices. It continues the journey that Achebe began with his earlier novels, tracing the history of modern Africa through colonialism and beyond, and is a work ultimately filled with hope. less",1930–2013,Nigeria
Carter Godwin Woodson,The Mis-Education of the Negro,4.05,,,
Ayesha Rodriguez,I Am...,4.03,"In this book for boys, author Ayesha Rodriguez uses rhyming verses, followed by a positive affirmation. 
I am
 and the words that follow are powerful. Repeated affirmations will build up your child's self-esteem and transform his sense of self! less",,
Alexander McCall Smith,The Good Husband of Zebra Drive (No. 1 Ladies' Detective Agency #8),4.03,"THE NO. 1 LADIES’ DETECTIVE AGENCY - Book 8Fans around the world adore the bestselling No. 1 Ladies’ Detective Agency series, the basis of the HBO TV show, and its proprietor Precious Ramotswe, Botswana’s premier lady detective.  In this charming series, Mma  Ramotswe navigates her cases and her personal life with wisdom, and good humor—not to mention help from her loyal assistant, Grace Makutsi, and the occasional cup of tea.In the life of Precious Ramotswe–a woman duly proud of her fine traditional build– there is rarely a dull moment, and in the latest installment in the universally beloved No. 1 Ladies’ Detective Agency series there is much happening on Zebra Drive and Tlokweng Road. Mma Ramotswe is experiencing staffing difficulties. First Mr. J.L.B. Matekoni asks to be put in charge of a case involving an errant husband. But can a man investigate such matters as successfully as the number one lady detective can? Then she has a minor falling-out with her assistant, Mma Makutsi, who decides to leave the agency, taking the 97 percent she received on her typing final from the Botswana Secretarial College with her. Along the way, Mma Ramotswe is asked to investigate a couple of tricky cases. Will she be able to explain an unexpected series of deaths at the hospital in Mochudi? And what about the missing office supplies at a local printing company? These are the types of questions that she is uniquely well suited to answer.In the end, whatever happens, Mma Ramotswe knows she can count on Mr. J.L.B. Matekoni, who stands for all that is solid and true in a shifting world. And there is always her love for Botswana, a country of which she is justifiably proud. less",,
Chinua Achebe,A Man of the People,4.03,"By the renowned author of ""Things Fall Apart,"" this novel foreshadows the Nigerian coups of 1966 and shows the color and vivacity as well as the violence and corruption of a society making its own way between the two worlds. less",1930–2013,Nigeria
"Toni Morrison, Reynolds Price",Song of Solomon,4.03,"In this celebrated novel, Nobel Prize-winning author Toni Morrison created a new way of rendering the contradictory nuances of black life in America. Its earthy poetic language and striking use of folklore and myth established Morrison as a major voice in contemporary fiction.Song of Solomon begins with one of the most arresting scenes in our century's literature: a dreamlike tableau depicting a man poised on a roof, about to fly into the air, while cloth rose petals swirl above the snow-covered ground and, in the astonished crowd below, one woman sings as another enters premature labor. The child born of that labor, Macon (Milkman) Dead, will eventually come to discover, through his complicated progress to maturity, the meaning of the drama that marked his birth. Toni Morrison's novel is at once a romance of self-discovery, a retelling of the black experience in America that uncovers the inalienable poetry of that experience, and a family saga luminous in its depth, imaginative generosity, and universality. It is also a tribute to the ways in which, in the hands of a master, the ancient art of storytelling can be used to make the mysterious and invisible aspects of human life apparent, real, and firm to the touch. less",,
James Patterson,"Along Came a Spider (Alex Cross, #1)",4.02,"A missing little girl named Maggie Rose . . . a family of three brutally murdered in the projects of Washington, D.C. . . . the thrill-killing of a beautiful elementary school teacher . . . a psychopathic serial kidnapper/murderer who is so terrifying that the FBI, the Secret Service, and the police cannot outsmart him - even after he's been captured.Gary Soneji wants to commit the crime of the century. Alex Cross is the brilliant homicide detective pitted against him. Jezzie Flanagan is the first female supervisor of the Secret Service who completes one of the most unusual suspense triangles in any thriller you have ever read. Alex Cross and Jezzie Flanagan are about to have a forbidden love affair—at the worst possible time for both of them. Because Gary Soneji is playing at the top of his game. The latest of the unspeakable crimes happens in Alex Cross's precinct. It happens under the noses of Jezzie Flanagan's men. Now Alex Cross must face the ultimate test: How do you outmaneuver a brilliant psychopath? less",,
" out of 5 stars2,17",Dreams from My Father,4.02,"Nine years before the Senate campaign that made him one of the most influential and compelling voices in American politics, Barack Obama published this lyrical, unsentimental, and powerfully affecting memoir, which became a #1 New York Times bestseller when it was reissued in 2004. Dreams from My Father tells the story of Obama’s struggle to understand the forces that shaped him as the son of a black African father and white American mother—a struggle that takes him from the American heartland to the ancestral home of his great-aunt in the tiny African village of Alego. Obama opens his story in New York, where he hears that his father—a figure he knows more as a myth than as a man—has died in a car accident. The news triggers a chain of memories as Barack retraces his family’s unusual history: the migration of his mother’s family from small-town Kansas to the Hawaiian islands; the love that develops between his mother and a promising young Kenyan student, a love nurtured by youthful innocence and the integrationist spirit of the early sixties; his father’s departure from Hawaii when Barack was two, as the realities of race and power reassert themselves; and Barack’s own awakening to the fears and doubts that exist not just between the larger black and white worlds but within himself.Propelled by a desire to understand both the forces that shaped him and his father’s legacy, Barack moves to Chicago to work as a community organizer. There, against the backdrop of tumultuous political and racial conflict, he works to turn back the mounting despair of the inner city. His story becomes one with those of the people he works with as he learns about the value of community, the necessity of healing old wounds, and the possibility of faith in the midst of adversity.Barack’s journey comes full circle in Kenya, where he finally meets the African side of his family and confronts the bitter truth of his father’s life. Traveling through a country racked by brutal poverty and tribal conflict, but whose people are sustained by a spirit of endurance and hope, Barack discovers that he is inescapably bound to brothers and sisters living an ocean away—and that by embracing their common struggles he can finally reconcile his divided inheritance.A searching meditation on the meaning of identity in America, Dreams from My Father might be the most revealing portrait we have of a major American leader—a man who is playing, and will play, an increasingly prominent role in healing a fractious and fragmented nation. less",,
Karen Arrington,Your Next Level Life,4.02,,,
Uwem Akpan,Reception of Uwem Akpan's Say You're One of Them in Oprah Winfrey's Book Club,4.01,"Seminar paper from the year 2011 in the subject English - Literature, Works, grade: 1,0, Carl von Ossietzky University of Oldenburg, language: English, abstract: In 2009, the debut book ""Say You're One of Them"" by the Nigerian author Uwem Akpan became a bestseller after being chosen by the American TV star Oprah Winfrey for her popular Book Club. The five short stories in the book are set in different African countries and describe horrible events such as child abuse, prostitution and religious wars. Akpan writes his fictional stories through the eyes of children and claims to be speaking for African children in general. After being presented on the Oprah Winfrey Show and on Oprah's website Oprah.com, Akpan's book became very popular, especially in the US. Literary scholars have not published any studies about Akpan's stories yet, so there is no scientific work about the book. However, the short stories were discussed intensely by the members of ""Oprah's Book Club,"" who read the book on Oprah's advice and exchanged their ideas about the stories on message boards on the internet. In the past few years, scholars of literary and cultural studies have given more and more attention to Oprah's Book Club and its effect on the practices of reading and talking about books. Several writers have also focused on the internet as a setting for discussions about books. The phrases ""give a voice to"" and ""speaking for"" are important catchwords in the field of postcolonial studies. In ""Can the Subaltern Speak?"" Gayatri Spivak (1995) exposes the process of giving a voice to the subaltern as a process of colonial domination. By trying to speak for those who do not or cannot speak for themselves - in Akpan's case the African children - writers tend to ignore the heterogeneity of the subaltern and take an essentialist point of view. This problem has been discussed in connection with various pieces of postcolonial writing, and plays a role in the interpretation of Akpan's Say You're One o less",,
Barack Obama,The Audacity of Hope,4.01,"The Audacity of Hope is Barack Obama's call for a new kind of politics—a politics that builds upon those shared understandings that pull us together as Americans. Lucid in his vision of America's place in the world, refreshingly candid about his family life and his time in the Senate, Obama here sets out his political convictions and inspires us to trust in the dogged optimism that has long defined us and that is our best hope going forward. less",,
Ivan Van Sertima,They Came Before Columbus,4.01,"They Came Before Columbus reveals a compelling, dramatic, and superbly detailed documentation of the presence and legacy of Africans in ancient America. Examining navigation and shipbuilding; cultural analogies between Native Americans and Africans; the transportation of plants, animals, and textiles between the continents; and the diaries, journals, and oral accounts of the explorers themselves, Ivan Van Sertima builds a pyramid of evidence to support his claim of an African presence in the New World centuries before Columbus. Combining impressive scholarship with a novelist’s gift for storytelling, Van Sertima re-creates some of the most powerful scenes of human history: the launching of the great ships of Mali in 1310 (two hundred master boats and two hundred supply boats), the sea expedition of the Mandingo king in 1311, and many others. In They Came Before Columbus, we see clearly the unmistakable face and handprint of black Africans in pre-Columbian America, and their overwhelming impact on the civilizations they encountered. less",,
 out of 5 stars4,What It Means When A Man Falls From The Sky,4.01,"A stunning collection of short stories from Caine-Prize shortlisted and Commonwealth Writer's Prize winner Lesley Nneka Arimah, WHAT IT MEANS WHEN A MAN FALLS FROM THE SKY is a debut with all the imagination of Helen Oyeyemi's The Icarus Girl and the toughness of Elena Ferrante's Neapolitan novels.'When Enebeli Okwara sent his girl out in the world, he did not know what the world did to daughters'. The daughters, wives and mothers in Lesley Nneka Arimah's remarkable debut collection find themselves in extraordinary situations: a woman whose mother's ghost appears to have stepped out of a family snapshot, another who, exhausted by childlessness, resorts to fashioning a charmed infant out of human hair, a 'grief worker' with a miraculous ability to remove emotional pain - at a price. What unites them is the toughness of the world they inhabit, a world where the future is uncertain, opportunities are scant, and fortunes change quicker than the flick of a switch. Characterised by their vividness, immediacy and the author's seemingly endless ability to conjure worlds at once familiar and unsettlingly different, this collection showcases the work of an extraordinarily talented writer at the start of a brilliant career. less",,
Chris Cleave,Little Bee,4.01,"From the author of the international bestseller Incendiary comes a haunting novel about the tenuous friendship that blooms between two disparate strangers—one an illegal Nigerian refugee, the other a recent widow from suburban London. less",,
Alexander McCall Smit,The Miracle at Speedy Motors (No. 1 Ladies' Detective Agency #9),4.01,"Under the endless skies of Botswana, there is always something Mma Ramotswe can do to help someone and here she finds herself assisting a woman looking for her family. The problem is the woman doesn't know her real name or whether any of her family members are still alive. Meanwhile, Mma Makutsi is the recipient of a beautiful new bed that causes more than a few sleepless nights. And, at Tlokweng Road Speedy Motors, Mr. J.L.B. Matekoni has come under the influence of a doctor promising a miracle cure for his daughter's medical condition, which Mma Ramotswe finds hard to accept. Nonetheless, Precious Ramotswe handles these things in her usual compassionate and good-natured way, while always finding time for a cup of red bush tea. less",,
Sembene Ousmane,God's Bits of Wood,4.0,"In 1947 the workers on the Dakar-Niger Railway came out on strike. Throughout this novel, written from the workers' perspective, the community social tensions emerge, and increase as the strike lengthensOusmane Sembène envinces the color, passion, and tragedy of those formative years in the history of West Africa. less",,
W.E.B. Du Bois,The Souls of Black Folk,4.0,"This landmark book is a founding work in the literature of black protest. W. E. B. Du Bois (1868–1963) played a key role in developing the strategy and program that dominated early 20th-century black protest in America. In this collection of essays, first published together in 1903, he eloquently affirms that it is beneath the dignity of a human being to beg for those rights that belong inherently to all mankind. He also charges that the strategy of accommodation to white supremacy advanced by Booker T. Washington, then the most influential black leader in America, would only serve to perpetuate black oppression.Publication of The Souls of Black Folk was a dramatic event that helped to polarize black leaders into two groups: the more conservative followers of Washington and the more radical supporters of aggressive protest. Its influence cannot be overstated. It is essential reading for everyone interested in African-American history and the struggle for civil rights in America. less",,
"Immaculee Ilibagiza, Steve Erwin",Left to Tell,4.0,"Immaculee Ilibagiza grew up in a country she loved, surrounded by a family she cherished. But in 1994 her idyllic world was ripped apart as Rwanda descended into a bloody genocide. Immaculee’s family was brutally murdered during a killing spree that lasted three months and claimed the lives of nearly a million Rwandans.Incredibly, Immaculee survived the slaughter. For 91 days, she and seven other women huddled silently together in the cramped bathroom of a local pastor while hundreds of machete-wielding killers hunted for them. It was during those endless hours of unspeakable terror that Immaculee discovered the power of prayer, eventually shedding her fear of death and forging a profound and lasting relationship with God. She emerged from her bathroom hideout having discovered the meaning of truly unconditional love—a love so strong she was able seek out and forgive her family’s killers.The triumphant story of this remarkable young woman’s journey through the darkness of genocide will inspire anyone whose life has been touched by fear, suffering, and loss. less",,
